uniqueid,bank_account
uniqueid_8568 x Kenya,No
uniqueid_8569 x Kenya,No
uniqueid_8570 x Kenya,No
uniqueid_8571 x Kenya,No
uniqueid_8572 x Kenya,No
uniqueid_8573 x Kenya,No
uniqueid_8574 x Kenya,No
uniqueid_8575 x Kenya,No
uniqueid_8576 x Kenya,No
uniqueid_8577 x Kenya,No
uniqueid_8578 x Kenya,No
uniqueid_8579 x Kenya,Yes
uniqueid_8580 x Kenya,No
uniqueid_8581 x Kenya,No
uniqueid_8582 x Kenya,Yes
uniqueid_8583 x Kenya,No
uniqueid_8584 x Kenya,No
uniqueid_8585 x Kenya,No
uniqueid_8586 x Kenya,No
uniqueid_8587 x Kenya,Yes
uniqueid_8588 x Kenya,Yes
uniqueid_8589 x Kenya,No
uniqueid_8590 x Kenya,No
uniqueid_8591 x Kenya,Yes
uniqueid_8592 x Kenya,No
uniqueid_8593 x Kenya,No
uniqueid_8594 x Kenya,Yes
uniqueid_8595 x Kenya,No
uniqueid_8596 x Kenya,No
uniqueid_8597 x Kenya,No
uniqueid_8598 x Kenya,No
uniqueid_8599 x Kenya,Yes
uniqueid_8600 x Kenya,No
uniqueid_8601 x Kenya,Yes
uniqueid_8602 x Kenya,No
uniqueid_8603 x Kenya,No
uniqueid_8604 x Kenya,No
uniqueid_8605 x Kenya,No
uniqueid_8606 x Kenya,No
uniqueid_8607 x Kenya,No
uniqueid_8608 x Kenya,No
uniqueid_8609 x Kenya,No
uniqueid_8610 x Kenya,No
uniqueid_8611 x Kenya,No
uniqueid_8612 x Kenya,No
uniqueid_8613 x Kenya,No
uniqueid_8614 x Kenya,Yes
uniqueid_8615 x Kenya,No
uniqueid_8616 x Kenya,Yes
uniqueid_8617 x Kenya,No
uniqueid_8618 x Kenya,No
uniqueid_8619 x Kenya,No
uniqueid_8620 x Kenya,No
uniqueid_8621 x Kenya,No
uniqueid_8622 x Kenya,No
uniqueid_8623 x Kenya,No
uniqueid_8624 x Kenya,No
uniqueid_8625 x Kenya,No
uniqueid_8626 x Kenya,No
uniqueid_8627 x Kenya,No
uniqueid_8628 x Kenya,No
uniqueid_8629 x Kenya,No
uniqueid_8630 x Kenya,No
uniqueid_8631 x Kenya,No
uniqueid_8632 x Kenya,No
uniqueid_8633 x Kenya,No
uniqueid_8634 x Kenya,No
uniqueid_8635 x Kenya,No
uniqueid_8636 x Kenya,No
uniqueid_8637 x Kenya,No
uniqueid_8638 x Kenya,Yes
uniqueid_8639 x Kenya,No
uniqueid_8640 x Kenya,No
uniqueid_8641 x Kenya,No
uniqueid_8642 x Kenya,No
uniqueid_8643 x Kenya,No
uniqueid_8644 x Kenya,No
uniqueid_8645 x Kenya,Yes
uniqueid_8646 x Kenya,No
uniqueid_8647 x Kenya,No
uniqueid_8648 x Kenya,Yes
uniqueid_8649 x Kenya,No
uniqueid_8650 x Kenya,No
uniqueid_8651 x Kenya,No
uniqueid_8652 x Kenya,No
uniqueid_8653 x Kenya,No
uniqueid_8654 x Kenya,Yes
uniqueid_8655 x Kenya,No
uniqueid_8656 x Kenya,Yes
uniqueid_8657 x Kenya,No
uniqueid_8658 x Kenya,Yes
uniqueid_8659 x Kenya,No
uniqueid_8660 x Kenya,No
uniqueid_8661 x Kenya,No
uniqueid_8662 x Kenya,No
uniqueid_8663 x Kenya,No
uniqueid_8664 x Kenya,No
uniqueid_8665 x Kenya,No
uniqueid_8666 x Kenya,No
uniqueid_8667 x Kenya,Yes
uniqueid_8668 x Kenya,No
uniqueid_8669 x Kenya,Yes
uniqueid_8535 x Rwanda,No
uniqueid_8547 x Rwanda,No
uniqueid_8565 x Rwanda,No
uniqueid_8585 x Rwanda,No
uniqueid_8592 x Rwanda,No
uniqueid_8605 x Rwanda,No
uniqueid_8612 x Rwanda,No
uniqueid_8620 x Rwanda,No
uniqueid_8627 x Rwanda,No
uniqueid_8628 x Rwanda,No
uniqueid_8633 x Rwanda,No
uniqueid_8637 x Rwanda,No
uniqueid_8650 x Rwanda,No
uniqueid_8664 x Rwanda,No
uniqueid_8666 x Rwanda,No
uniqueid_8670 x Rwanda,Yes
uniqueid_8672 x Rwanda,No
uniqueid_8694 x Rwanda,No
uniqueid_8705 x Rwanda,No
uniqueid_8715 x Rwanda,Yes
uniqueid_8717 x Rwanda,Yes
uniqueid_8739 x Rwanda,No
uniqueid_8742 x Rwanda,No
uniqueid_8746 x Rwanda,No
uniqueid_8760 x Rwanda,No
uniqueid_8761 x Rwanda,No
uniqueid_8762 x Rwanda,No
uniqueid_8763 x Rwanda,No
uniqueid_8764 x Rwanda,No
uniqueid_8765 x Rwanda,No
uniqueid_8766 x Rwanda,No
uniqueid_8767 x Rwanda,No
uniqueid_8768 x Rwanda,No
uniqueid_8769 x Rwanda,No
uniqueid_8770 x Rwanda,No
uniqueid_8771 x Rwanda,No
uniqueid_8772 x Rwanda,No
uniqueid_8773 x Rwanda,No
uniqueid_8774 x Rwanda,No
uniqueid_8775 x Rwanda,No
uniqueid_8776 x Rwanda,No
uniqueid_8777 x Rwanda,No
uniqueid_8778 x Rwanda,No
uniqueid_8779 x Rwanda,No
uniqueid_8780 x Rwanda,No
uniqueid_8781 x Rwanda,No
uniqueid_8782 x Rwanda,No
uniqueid_8783 x Rwanda,No
uniqueid_8784 x Rwanda,No
uniqueid_8785 x Rwanda,No
uniqueid_8786 x Rwanda,No
uniqueid_8787 x Rwanda,No
uniqueid_8788 x Rwanda,No
uniqueid_8789 x Rwanda,No
uniqueid_8790 x Rwanda,No
uniqueid_8791 x Rwanda,No
uniqueid_8792 x Rwanda,No
uniqueid_8793 x Rwanda,No
uniqueid_8794 x Rwanda,No
uniqueid_8795 x Rwanda,No
uniqueid_8796 x Rwanda,No
uniqueid_8797 x Rwanda,No
uniqueid_8798 x Rwanda,No
uniqueid_8799 x Rwanda,No
uniqueid_8800 x Rwanda,No
uniqueid_8801 x Rwanda,No
uniqueid_8802 x Rwanda,No
uniqueid_8803 x Rwanda,No
uniqueid_8804 x Rwanda,No
uniqueid_8805 x Rwanda,No
uniqueid_8806 x Rwanda,No
uniqueid_8807 x Rwanda,No
uniqueid_8808 x Rwanda,No
uniqueid_8809 x Rwanda,No
uniqueid_8810 x Rwanda,No
uniqueid_8811 x Rwanda,No
uniqueid_8812 x Rwanda,No
uniqueid_8813 x Rwanda,No
uniqueid_8814 x Rwanda,No
uniqueid_8815 x Rwanda,No
uniqueid_8816 x Rwanda,No
uniqueid_8817 x Rwanda,No
uniqueid_8818 x Rwanda,No
uniqueid_8819 x Rwanda,No
uniqueid_8820 x Rwanda,No
uniqueid_8821 x Rwanda,No
uniqueid_8822 x Rwanda,No
uniqueid_8823 x Rwanda,No
uniqueid_8824 x Rwanda,No
uniqueid_8825 x Rwanda,No
uniqueid_8826 x Rwanda,No
uniqueid_8827 x Rwanda,No
uniqueid_8828 x Rwanda,No
uniqueid_8829 x Rwanda,No
uniqueid_8830 x Rwanda,No
uniqueid_8831 x Rwanda,No
uniqueid_8832 x Rwanda,No
uniqueid_8833 x Rwanda,No
uniqueid_8834 x Rwanda,No
uniqueid_8835 x Rwanda,No
uniqueid_8836 x Rwanda,No
uniqueid_8837 x Rwanda,No
uniqueid_8838 x Rwanda,No
uniqueid_8839 x Rwanda,No
uniqueid_8840 x Rwanda,No
uniqueid_8841 x Rwanda,No
uniqueid_8842 x Rwanda,No
uniqueid_8843 x Rwanda,No
uniqueid_8844 x Rwanda,No
uniqueid_8845 x Rwanda,No
uniqueid_8846 x Rwanda,No
uniqueid_8847 x Rwanda,No
uniqueid_8848 x Rwanda,No
uniqueid_8849 x Rwanda,No
uniqueid_8850 x Rwanda,No
uniqueid_8851 x Rwanda,No
uniqueid_8852 x Rwanda,No
uniqueid_8853 x Rwanda,No
uniqueid_8854 x Rwanda,No
uniqueid_8855 x Rwanda,No
uniqueid_8856 x Rwanda,No
uniqueid_8857 x Rwanda,No
uniqueid_8858 x Rwanda,No
uniqueid_8859 x Rwanda,No
uniqueid_8860 x Rwanda,No
uniqueid_8861 x Rwanda,No
uniqueid_8862 x Rwanda,No
uniqueid_8863 x Rwanda,No
uniqueid_8864 x Rwanda,No
uniqueid_8865 x Rwanda,No
uniqueid_8866 x Rwanda,No
uniqueid_8867 x Rwanda,No
uniqueid_8868 x Rwanda,No
uniqueid_8869 x Rwanda,No
uniqueid_8870 x Rwanda,Yes
uniqueid_8871 x Rwanda,No
uniqueid_8872 x Rwanda,No
uniqueid_8873 x Rwanda,No
uniqueid_8874 x Rwanda,No
uniqueid_8875 x Rwanda,No
uniqueid_8876 x Rwanda,No
uniqueid_8877 x Rwanda,No
uniqueid_8878 x Rwanda,No
uniqueid_8879 x Rwanda,No
uniqueid_8880 x Rwanda,No
uniqueid_8881 x Rwanda,No
uniqueid_8882 x Rwanda,No
uniqueid_8883 x Rwanda,No
uniqueid_8884 x Rwanda,No
uniqueid_8885 x Rwanda,No
uniqueid_8886 x Rwanda,No
uniqueid_8887 x Rwanda,No
uniqueid_8888 x Rwanda,No
uniqueid_8889 x Rwanda,No
uniqueid_8890 x Rwanda,No
uniqueid_8891 x Rwanda,No
uniqueid_8892 x Rwanda,No
uniqueid_8893 x Rwanda,No
uniqueid_8894 x Rwanda,No
uniqueid_8895 x Rwanda,No
uniqueid_8896 x Rwanda,No
uniqueid_8897 x Rwanda,No
uniqueid_8898 x Rwanda,No
uniqueid_8899 x Rwanda,No
uniqueid_8900 x Rwanda,No
uniqueid_8901 x Rwanda,No
uniqueid_8902 x Rwanda,No
uniqueid_8903 x Rwanda,No
uniqueid_8904 x Rwanda,No
uniqueid_8905 x Rwanda,No
uniqueid_8906 x Rwanda,No
uniqueid_8907 x Rwanda,No
uniqueid_8908 x Rwanda,No
uniqueid_8909 x Rwanda,No
uniqueid_8910 x Rwanda,No
uniqueid_8911 x Rwanda,No
uniqueid_8912 x Rwanda,No
uniqueid_8913 x Rwanda,No
uniqueid_8914 x Rwanda,No
uniqueid_8915 x Rwanda,No
uniqueid_8916 x Rwanda,No
uniqueid_8917 x Rwanda,No
uniqueid_8918 x Rwanda,No
uniqueid_8919 x Rwanda,No
uniqueid_8920 x Rwanda,No
uniqueid_8921 x Rwanda,No
uniqueid_8922 x Rwanda,No
uniqueid_8923 x Rwanda,No
uniqueid_8924 x Rwanda,No
uniqueid_8925 x Rwanda,No
uniqueid_8926 x Rwanda,No
uniqueid_8927 x Rwanda,No
uniqueid_8928 x Rwanda,No
uniqueid_8929 x Rwanda,No
uniqueid_8930 x Rwanda,No
uniqueid_8931 x Rwanda,No
uniqueid_8932 x Rwanda,No
uniqueid_8933 x Rwanda,No
uniqueid_8934 x Rwanda,No
uniqueid_8935 x Rwanda,No
uniqueid_8936 x Rwanda,No
uniqueid_8937 x Rwanda,No
uniqueid_8938 x Rwanda,No
uniqueid_8939 x Rwanda,No
uniqueid_8940 x Rwanda,No
uniqueid_8941 x Rwanda,Yes
uniqueid_8942 x Rwanda,No
uniqueid_8943 x Rwanda,No
uniqueid_8944 x Rwanda,No
uniqueid_8945 x Rwanda,No
uniqueid_8946 x Rwanda,No
uniqueid_8947 x Rwanda,No
uniqueid_8948 x Rwanda,No
uniqueid_8949 x Rwanda,No
uniqueid_8950 x Rwanda,No
uniqueid_8951 x Rwanda,No
uniqueid_8952 x Rwanda,No
uniqueid_8953 x Rwanda,No
uniqueid_8954 x Rwanda,No
uniqueid_8955 x Rwanda,No
uniqueid_8956 x Rwanda,No
uniqueid_8957 x Rwanda,No
uniqueid_8958 x Rwanda,No
uniqueid_8959 x Rwanda,No
uniqueid_8960 x Rwanda,No
uniqueid_8961 x Rwanda,No
uniqueid_8962 x Rwanda,No
uniqueid_8963 x Rwanda,No
uniqueid_8964 x Rwanda,No
uniqueid_8965 x Rwanda,No
uniqueid_8966 x Rwanda,No
uniqueid_8967 x Rwanda,No
uniqueid_8968 x Rwanda,No
uniqueid_8969 x Rwanda,No
uniqueid_8970 x Rwanda,No
uniqueid_8971 x Rwanda,No
uniqueid_8972 x Rwanda,No
uniqueid_8973 x Rwanda,No
uniqueid_8974 x Rwanda,No
uniqueid_8975 x Rwanda,No
uniqueid_8976 x Rwanda,No
uniqueid_8977 x Rwanda,No
uniqueid_8978 x Rwanda,No
uniqueid_8979 x Rwanda,No
uniqueid_8980 x Rwanda,No
uniqueid_8981 x Rwanda,No
uniqueid_8982 x Rwanda,No
uniqueid_8983 x Rwanda,No
uniqueid_8984 x Rwanda,Yes
uniqueid_8985 x Rwanda,No
uniqueid_8986 x Rwanda,No
uniqueid_8987 x Rwanda,No
uniqueid_8988 x Rwanda,No
uniqueid_8989 x Rwanda,No
uniqueid_8990 x Rwanda,No
uniqueid_8991 x Rwanda,No
uniqueid_8992 x Rwanda,No
uniqueid_8993 x Rwanda,No
uniqueid_8994 x Rwanda,Yes
uniqueid_8995 x Rwanda,No
uniqueid_8996 x Rwanda,No
uniqueid_8997 x Rwanda,No
uniqueid_8998 x Rwanda,No
uniqueid_8999 x Rwanda,No
uniqueid_9000 x Rwanda,No
uniqueid_9001 x Rwanda,No
uniqueid_9002 x Rwanda,No
uniqueid_9003 x Rwanda,No
uniqueid_9004 x Rwanda,No
uniqueid_9005 x Rwanda,No
uniqueid_9006 x Rwanda,No
uniqueid_9007 x Rwanda,No
uniqueid_9008 x Rwanda,No
uniqueid_9009 x Rwanda,No
uniqueid_9010 x Rwanda,No
uniqueid_9011 x Rwanda,No
uniqueid_9012 x Rwanda,No
uniqueid_9013 x Rwanda,No
uniqueid_9014 x Rwanda,No
uniqueid_9015 x Rwanda,No
uniqueid_9016 x Rwanda,No
uniqueid_9017 x Rwanda,No
uniqueid_9018 x Rwanda,No
uniqueid_9019 x Rwanda,No
uniqueid_9020 x Rwanda,No
uniqueid_9021 x Rwanda,No
uniqueid_9022 x Rwanda,No
uniqueid_9023 x Rwanda,No
uniqueid_9024 x Rwanda,No
uniqueid_9025 x Rwanda,Yes
uniqueid_9026 x Rwanda,No
uniqueid_9027 x Rwanda,Yes
uniqueid_9028 x Rwanda,No
uniqueid_9029 x Rwanda,No
uniqueid_9030 x Rwanda,No
uniqueid_9031 x Rwanda,No
uniqueid_9032 x Rwanda,No
uniqueid_9033 x Rwanda,No
uniqueid_9034 x Rwanda,No
uniqueid_9035 x Rwanda,No
uniqueid_9036 x Rwanda,No
uniqueid_9037 x Rwanda,No
uniqueid_9038 x Rwanda,No
uniqueid_9039 x Rwanda,No
uniqueid_9040 x Rwanda,No
uniqueid_9041 x Rwanda,No
uniqueid_9042 x Rwanda,No
uniqueid_9043 x Rwanda,No
uniqueid_9044 x Rwanda,No
uniqueid_9045 x Rwanda,No
uniqueid_9046 x Rwanda,No
uniqueid_9047 x Rwanda,No
uniqueid_9048 x Rwanda,No
uniqueid_9049 x Rwanda,No
uniqueid_9050 x Rwanda,No
uniqueid_9051 x Rwanda,No
uniqueid_9052 x Rwanda,No
uniqueid_9053 x Rwanda,No
uniqueid_9054 x Rwanda,No
uniqueid_9055 x Rwanda,No
uniqueid_9056 x Rwanda,No
uniqueid_9057 x Rwanda,No
uniqueid_9058 x Rwanda,No
uniqueid_9059 x Rwanda,No
uniqueid_9060 x Rwanda,No
uniqueid_9061 x Rwanda,No
uniqueid_9062 x Rwanda,No
uniqueid_9063 x Rwanda,No
uniqueid_9064 x Rwanda,No
uniqueid_9065 x Rwanda,No
uniqueid_9066 x Rwanda,No
uniqueid_9067 x Rwanda,No
uniqueid_9068 x Rwanda,No
uniqueid_9069 x Rwanda,No
uniqueid_9070 x Rwanda,No
uniqueid_9071 x Rwanda,Yes
uniqueid_9072 x Rwanda,No
uniqueid_9073 x Rwanda,No
uniqueid_9074 x Rwanda,No
uniqueid_9075 x Rwanda,No
uniqueid_9076 x Rwanda,No
uniqueid_9077 x Rwanda,No
uniqueid_9078 x Rwanda,No
uniqueid_9079 x Rwanda,No
uniqueid_9080 x Rwanda,No
uniqueid_9081 x Rwanda,No
uniqueid_9082 x Rwanda,No
uniqueid_9083 x Rwanda,No
uniqueid_9084 x Rwanda,No
uniqueid_9085 x Rwanda,No
uniqueid_9086 x Rwanda,No
uniqueid_9087 x Rwanda,No
uniqueid_9088 x Rwanda,No
uniqueid_9089 x Rwanda,No
uniqueid_9090 x Rwanda,No
uniqueid_9091 x Rwanda,No
uniqueid_9092 x Rwanda,No
uniqueid_9093 x Rwanda,No
uniqueid_9094 x Rwanda,No
uniqueid_9095 x Rwanda,No
uniqueid_9096 x Rwanda,No
uniqueid_9097 x Rwanda,No
uniqueid_9098 x Rwanda,No
uniqueid_9099 x Rwanda,No
uniqueid_9100 x Rwanda,No
uniqueid_9101 x Rwanda,No
uniqueid_9102 x Rwanda,No
uniqueid_9103 x Rwanda,No
uniqueid_9104 x Rwanda,No
uniqueid_9105 x Rwanda,No
uniqueid_9106 x Rwanda,Yes
uniqueid_9107 x Rwanda,No
uniqueid_9108 x Rwanda,No
uniqueid_9109 x Rwanda,No
uniqueid_9110 x Rwanda,No
uniqueid_9111 x Rwanda,No
uniqueid_9112 x Rwanda,No
uniqueid_9113 x Rwanda,No
uniqueid_9114 x Rwanda,No
uniqueid_9115 x Rwanda,No
uniqueid_9116 x Rwanda,Yes
uniqueid_9117 x Rwanda,No
uniqueid_9118 x Rwanda,No
uniqueid_9119 x Rwanda,No
uniqueid_9120 x Rwanda,No
uniqueid_9121 x Rwanda,No
uniqueid_9122 x Rwanda,No
uniqueid_9123 x Rwanda,No
uniqueid_9124 x Rwanda,No
uniqueid_9125 x Rwanda,No
uniqueid_9126 x Rwanda,No
uniqueid_9127 x Rwanda,No
uniqueid_9128 x Rwanda,No
uniqueid_9129 x Rwanda,No
uniqueid_9130 x Rwanda,No
uniqueid_9131 x Rwanda,No
uniqueid_9132 x Rwanda,No
uniqueid_9133 x Rwanda,No
uniqueid_9134 x Rwanda,No
uniqueid_9135 x Rwanda,No
uniqueid_9136 x Rwanda,No
uniqueid_9137 x Rwanda,No
uniqueid_9138 x Rwanda,No
uniqueid_9139 x Rwanda,No
uniqueid_9140 x Rwanda,No
uniqueid_9141 x Rwanda,No
uniqueid_9142 x Rwanda,No
uniqueid_9143 x Rwanda,No
uniqueid_9144 x Rwanda,No
uniqueid_9145 x Rwanda,No
uniqueid_9146 x Rwanda,No
uniqueid_9147 x Rwanda,No
uniqueid_9148 x Rwanda,No
uniqueid_9149 x Rwanda,No
uniqueid_9150 x Rwanda,No
uniqueid_9151 x Rwanda,No
uniqueid_9152 x Rwanda,No
uniqueid_9153 x Rwanda,No
uniqueid_9154 x Rwanda,No
uniqueid_9155 x Rwanda,No
uniqueid_9156 x Rwanda,No
uniqueid_9157 x Rwanda,No
uniqueid_9158 x Rwanda,No
uniqueid_9159 x Rwanda,No
uniqueid_9160 x Rwanda,No
uniqueid_9161 x Rwanda,No
uniqueid_9162 x Rwanda,No
uniqueid_9163 x Rwanda,No
uniqueid_9164 x Rwanda,No
uniqueid_9165 x Rwanda,No
uniqueid_9166 x Rwanda,No
uniqueid_9167 x Rwanda,No
uniqueid_9168 x Rwanda,No
uniqueid_9169 x Rwanda,No
uniqueid_9170 x Rwanda,No
uniqueid_9171 x Rwanda,No
uniqueid_9172 x Rwanda,No
uniqueid_9173 x Rwanda,No
uniqueid_9174 x Rwanda,No
uniqueid_9175 x Rwanda,No
uniqueid_9176 x Rwanda,No
uniqueid_9177 x Rwanda,No
uniqueid_9178 x Rwanda,No
uniqueid_9179 x Rwanda,No
uniqueid_9180 x Rwanda,No
uniqueid_9181 x Rwanda,No
uniqueid_9182 x Rwanda,No
uniqueid_9183 x Rwanda,No
uniqueid_9184 x Rwanda,No
uniqueid_9185 x Rwanda,No
uniqueid_9186 x Rwanda,No
uniqueid_9187 x Rwanda,No
uniqueid_9188 x Rwanda,No
uniqueid_9189 x Rwanda,No
uniqueid_9190 x Rwanda,No
uniqueid_9191 x Rwanda,No
uniqueid_9192 x Rwanda,No
uniqueid_9193 x Rwanda,No
uniqueid_9194 x Rwanda,No
uniqueid_9195 x Rwanda,No
uniqueid_9196 x Rwanda,No
uniqueid_9197 x Rwanda,Yes
uniqueid_9198 x Rwanda,No
uniqueid_9199 x Rwanda,No
uniqueid_9200 x Rwanda,No
uniqueid_9201 x Rwanda,No
uniqueid_9202 x Rwanda,No
uniqueid_9203 x Rwanda,No
uniqueid_9204 x Rwanda,No
uniqueid_9205 x Rwanda,No
uniqueid_9206 x Rwanda,No
uniqueid_9207 x Rwanda,No
uniqueid_9208 x Rwanda,No
uniqueid_9209 x Rwanda,No
uniqueid_9210 x Rwanda,No
uniqueid_9211 x Rwanda,No
uniqueid_9212 x Rwanda,No
uniqueid_9213 x Rwanda,No
uniqueid_9214 x Rwanda,No
uniqueid_9215 x Rwanda,No
uniqueid_9216 x Rwanda,No
uniqueid_9217 x Rwanda,No
uniqueid_9218 x Rwanda,No
uniqueid_9219 x Rwanda,No
uniqueid_9220 x Rwanda,No
uniqueid_9221 x Rwanda,No
uniqueid_9222 x Rwanda,No
uniqueid_9223 x Rwanda,No
uniqueid_9224 x Rwanda,No
uniqueid_9225 x Rwanda,Yes
uniqueid_9226 x Rwanda,No
uniqueid_9227 x Rwanda,No
uniqueid_9228 x Rwanda,No
uniqueid_9229 x Rwanda,No
uniqueid_9230 x Rwanda,No
uniqueid_9231 x Rwanda,No
uniqueid_9232 x Rwanda,No
uniqueid_9233 x Rwanda,No
uniqueid_9234 x Rwanda,No
uniqueid_9235 x Rwanda,No
uniqueid_9236 x Rwanda,No
uniqueid_9237 x Rwanda,No
uniqueid_9238 x Rwanda,No
uniqueid_9239 x Rwanda,No
uniqueid_9240 x Rwanda,No
uniqueid_9241 x Rwanda,No
uniqueid_9242 x Rwanda,No
uniqueid_9243 x Rwanda,No
uniqueid_9244 x Rwanda,No
uniqueid_9245 x Rwanda,No
uniqueid_9246 x Rwanda,No
uniqueid_9247 x Rwanda,No
uniqueid_9248 x Rwanda,No
uniqueid_9249 x Rwanda,No
uniqueid_9250 x Rwanda,No
uniqueid_9251 x Rwanda,No
uniqueid_9252 x Rwanda,No
uniqueid_9253 x Rwanda,No
uniqueid_9254 x Rwanda,No
uniqueid_9255 x Rwanda,No
uniqueid_9256 x Rwanda,No
uniqueid_9257 x Rwanda,No
uniqueid_9258 x Rwanda,No
uniqueid_9259 x Rwanda,No
uniqueid_9260 x Rwanda,No
uniqueid_9261 x Rwanda,Yes
uniqueid_9262 x Rwanda,No
uniqueid_9263 x Rwanda,No
uniqueid_9264 x Rwanda,No
uniqueid_9265 x Rwanda,No
uniqueid_9266 x Rwanda,No
uniqueid_9267 x Rwanda,No
uniqueid_9268 x Rwanda,No
uniqueid_9269 x Rwanda,No
uniqueid_9270 x Rwanda,No
uniqueid_9271 x Rwanda,No
uniqueid_9272 x Rwanda,No
uniqueid_9273 x Rwanda,No
uniqueid_9274 x Rwanda,No
uniqueid_9275 x Rwanda,No
uniqueid_9276 x Rwanda,No
uniqueid_9277 x Rwanda,No
uniqueid_9278 x Rwanda,No
uniqueid_9279 x Rwanda,No
uniqueid_9280 x Rwanda,No
uniqueid_9281 x Rwanda,No
uniqueid_9282 x Rwanda,No
uniqueid_9283 x Rwanda,No
uniqueid_9284 x Rwanda,No
uniqueid_9285 x Rwanda,No
uniqueid_9286 x Rwanda,No
uniqueid_9287 x Rwanda,No
uniqueid_9288 x Rwanda,No
uniqueid_9289 x Rwanda,No
uniqueid_9290 x Rwanda,No
uniqueid_9291 x Rwanda,No
uniqueid_9292 x Rwanda,No
uniqueid_9293 x Rwanda,No
uniqueid_9294 x Rwanda,No
uniqueid_9295 x Rwanda,No
uniqueid_9296 x Rwanda,No
uniqueid_9297 x Rwanda,No
uniqueid_9298 x Rwanda,No
uniqueid_9299 x Rwanda,No
uniqueid_9300 x Rwanda,No
uniqueid_9301 x Rwanda,No
uniqueid_9302 x Rwanda,No
uniqueid_9303 x Rwanda,No
uniqueid_9304 x Rwanda,No
uniqueid_9305 x Rwanda,No
uniqueid_9306 x Rwanda,No
uniqueid_9307 x Rwanda,No
uniqueid_9308 x Rwanda,No
uniqueid_9309 x Rwanda,No
uniqueid_9310 x Rwanda,No
uniqueid_9311 x Rwanda,No
uniqueid_9312 x Rwanda,No
uniqueid_9313 x Rwanda,No
uniqueid_9314 x Rwanda,No
uniqueid_9315 x Rwanda,No
uniqueid_9316 x Rwanda,No
uniqueid_9317 x Rwanda,No
uniqueid_9318 x Rwanda,No
uniqueid_9319 x Rwanda,No
uniqueid_9320 x Rwanda,No
uniqueid_9321 x Rwanda,No
uniqueid_9322 x Rwanda,No
uniqueid_9323 x Rwanda,No
uniqueid_9324 x Rwanda,No
uniqueid_9325 x Rwanda,No
uniqueid_9326 x Rwanda,No
uniqueid_9327 x Rwanda,No
uniqueid_9328 x Rwanda,No
uniqueid_9329 x Rwanda,No
uniqueid_9330 x Rwanda,No
uniqueid_9331 x Rwanda,No
uniqueid_9332 x Rwanda,No
uniqueid_9333 x Rwanda,No
uniqueid_9334 x Rwanda,No
uniqueid_9335 x Rwanda,No
uniqueid_9336 x Rwanda,No
uniqueid_9337 x Rwanda,No
uniqueid_9338 x Rwanda,No
uniqueid_9339 x Rwanda,No
uniqueid_9340 x Rwanda,No
uniqueid_9341 x Rwanda,No
uniqueid_9342 x Rwanda,No
uniqueid_9343 x Rwanda,No
uniqueid_9344 x Rwanda,No
uniqueid_9345 x Rwanda,No
uniqueid_9346 x Rwanda,No
uniqueid_9347 x Rwanda,No
uniqueid_9348 x Rwanda,No
uniqueid_9349 x Rwanda,No
uniqueid_9350 x Rwanda,No
uniqueid_9351 x Rwanda,No
uniqueid_9352 x Rwanda,No
uniqueid_9353 x Rwanda,No
uniqueid_9354 x Rwanda,No
uniqueid_9355 x Rwanda,No
uniqueid_9356 x Rwanda,No
uniqueid_9357 x Rwanda,No
uniqueid_9358 x Rwanda,No
uniqueid_9359 x Rwanda,No
uniqueid_9360 x Rwanda,No
uniqueid_9361 x Rwanda,No
uniqueid_9362 x Rwanda,No
uniqueid_9363 x Rwanda,No
uniqueid_9364 x Rwanda,No
uniqueid_9365 x Rwanda,No
uniqueid_9366 x Rwanda,No
uniqueid_9367 x Rwanda,No
uniqueid_9368 x Rwanda,No
uniqueid_9369 x Rwanda,No
uniqueid_9370 x Rwanda,No
uniqueid_9371 x Rwanda,No
uniqueid_9372 x Rwanda,No
uniqueid_9373 x Rwanda,No
uniqueid_9374 x Rwanda,No
uniqueid_9375 x Rwanda,No
uniqueid_9376 x Rwanda,No
uniqueid_9377 x Rwanda,No
uniqueid_9378 x Rwanda,No
uniqueid_9379 x Rwanda,No
uniqueid_9380 x Rwanda,No
uniqueid_9381 x Rwanda,No
uniqueid_9382 x Rwanda,No
uniqueid_9383 x Rwanda,No
uniqueid_9384 x Rwanda,No
uniqueid_9385 x Rwanda,No
uniqueid_9386 x Rwanda,No
uniqueid_9387 x Rwanda,No
uniqueid_9388 x Rwanda,No
uniqueid_9389 x Rwanda,No
uniqueid_9390 x Rwanda,No
uniqueid_9391 x Rwanda,No
uniqueid_9392 x Rwanda,No
uniqueid_9393 x Rwanda,No
uniqueid_9394 x Rwanda,No
uniqueid_9395 x Rwanda,No
uniqueid_9396 x Rwanda,No
uniqueid_9397 x Rwanda,No
uniqueid_9398 x Rwanda,No
uniqueid_9399 x Rwanda,No
uniqueid_9400 x Rwanda,No
uniqueid_9401 x Rwanda,No
uniqueid_9402 x Rwanda,No
uniqueid_9403 x Rwanda,No
uniqueid_9404 x Rwanda,No
uniqueid_9405 x Rwanda,No
uniqueid_9406 x Rwanda,No
uniqueid_9407 x Rwanda,No
uniqueid_9408 x Rwanda,No
uniqueid_9409 x Rwanda,No
uniqueid_9410 x Rwanda,No
uniqueid_9411 x Rwanda,No
uniqueid_9412 x Rwanda,No
